node_id_prex,case_title,file_path
c001,Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings,../data/graph/case_study/raw_pdf_m/Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings.pdf
c002,Enhancing Safety Training Performance Using Extended Reality: A Hybrid Delphi-Ahp Multi-Attribute Analysis In A Type-2 Fuzzy Environment,../data/graph/case_study/raw_pdf_m/Enhancing Safety Training Performance Using Extended Reality A Hybrid Delphi–AHP Multi-Attribute Analysis in a Type-2 Fuzzy Environment.pdf
c003,Optimizing Building Occupants' Energy-Related Behaviour: Development Of A Training Activity In A Cave Automatic Virtual Environment,../data/graph/case_study/raw_pdf_m/Optimizing Building Occupants' Energy-Related Behaviour Development of a Training Activity in a Cave Automatic Virtual Environment.pdf
c004,Immersive Virtual Reality Training For Excavation Safety And Hazard Identification,../data/graph/case_study/raw_pdf_m/Immersive virtual reality training for excavation safety and hazard identification.pdf
c005,Enhancing Bridges' Safety Training Using Augmented Reality And Virtual Reality,../data/graph/case_study/raw_pdf_m/Enhancing Bridges’ Safety Training Using Augmented Reality and Virtual Reality.pdf
c006,Fundamental Knowledge Acquisition By Using Wearable Sensor For “Keiroka” Of Construction Industry,../data/graph/case_study/raw_pdf_m/Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry.pdf
c007,Leveraging The Knowledge Management Process For Sustainable Development In Small- And Medium-Sized Construction Companies: The Analytic Hierarchy Process Method,../data/graph/case_study/raw_pdf_m/Leveraging the Knowledge Management Process for Sustainable Development in Small- and Medium-Sized Construction Companies The Analytic Hierarchy Process Method.pdf
c008,Convolutional Neural Network Algorithm-Based Novel Automatic Text Classification Framework For Construction Accident Reports,../data/graph/case_study/raw_pdf_m/Convolutional Neural Network Algorithm–Based Novel Automatic Text Classification Framework for Construction Accident Reports.pdf
c009,A Generative Ai Model For Automating Construction Bid Preparation,../data/graph/case_study/raw_pdf_m/A generative AI model for automating construction bid preparation.pdf
c010,Towards Personalized Learning Environments: Using Machine Learning To Predict Students' Learning Preferences In A Mixed Reality Environment,../data/graph/case_study/raw_pdf_m/Towards Personalized Learning Environments Using Machine Learning to Predict Students' Learning Preferences in a Mixed Reality Environment.pdf
c011,Comparing The Productive Failure And Directive Instruction For Declarative Safety Knowledge Training Using Virtual Reality,../data/graph/case_study/raw_pdf_m/Comparing the productive failure and directive instruction for declarative safety knowledge training using virtual reality.pdf
c012,Leveraging Storytelling For Effective Tacit Knowledge Capture And Management In The Construction Industry: Framework Development And Empirical Validation,../data/graph/case_study/raw_pdf_m/Leveraging storytelling for effective tacit knowledge capture and management in the construction industry framework development and empirical validation.pdf
c013,"Enhanced Knowledge Retrieval In Engineering Construction Using Vector Similarity, Keyword Matching, And Llms",unknown
c014,Ai-Driven Knowledge Management In Megaprojects: The Leadership Factor,../data/graph/case_study/raw_pdf_m/AI-Driven Knowledge Management in Megaprojects The Leadership Factor.pdf
c015,"Innovative Pedagogies In Construction Project Management Education: Integrating Active Blended Learning, Technology And Authentic Applications","../data/graph/case_study/raw_pdf_m/Innovative Pedagogies In Construction Project Management Education Integrating Active Blended Learning, Technology And Authentic Applications.pdf"
c016,"Integration Of 4D Bim, Ptd And Databases To Improve Ohs And Knowledge Management In Construction","../data/graph/case_study/raw_pdf_m/Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction.pdf"
c017,Iob Internet Of Things (Iot) For Smart Built Environment (Sbe): Understanding The Complexity And Contributing To Energy Efficiency; A Case Study In Mediterranean Climates,../data/graph/case_study/raw_pdf_m/IoB Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates.pdf
c101,Documenting Sme Processes With Conversational Ai: From Tacit Knowledge To Bpmn,../data/graph/case_study/raw_pdf_m/Documenting SME Processes with Conversational AI From Tacit Knowledge to BPMN.pdf
c102,Large Language Model For Humanoid Cognition In Proactive Human-Robot Collaboration,../data/graph/case_study/raw_pdf_m/Large Language Model for Humanoid Cognition in Proactive Human-Robot Collaboration.pdf
c103,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,../data/graph/case_study/raw_pdf_m/Deep Extreme Learning Machine With its Application to Body-Conducted-Sound-Based Handwork Recognition.pdf
c104,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,../data/graph/case_study/raw_pdf_m/Evaluating Knowledge Gain and Retention in IoT Circuit Assembly Using Mobile Augmented Reality Technology.pdf
c105,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,../data/graph/case_study/raw_pdf_m/Knowledge retention through cognitive support technology (CST) in the manufacturing industry a process inventory.pdf
c106,A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup,../data/graph/case_study/raw_pdf_m/A visual management and augmented-reality-based training module for the enhancement of short and long-term procedural knowledge retention in complex machinery setup.pdf
c107,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,../data/graph/case_study/raw_pdf_m/How Can Pneumatics Be Trained with Augmented Reality in the Context of Training for Industrial-Technical Professions.pdf
c108,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,../data/graph/case_study/raw_pdf_m/Cooperative Knowledge Elicitation for Formal Ontology Design An Exploratory Study Applied in Industry for Knowledge Management.pdf
c109,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","../data/graph/case_study/raw_pdf_m/Unseen seeds, green minds in the digital era How SMEs foster innovation through green intellectual capital, AI, and resource commitment.pdf"
c110,Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education,../data/graph/case_study/raw_pdf_m/Integrating AI-Driven Large Language Models Tools for Enhanced Problem-Solving and Troubleshooting in Automation of Manufacturing Systems Education.pdf
c111,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,../data/graph/case_study/raw_pdf_m/Exploring AI frontiers Insights from Austria’s Industrial Sector on Enhancing Control Functions.pdf
c112,Enhancing Supply Chain Innovation Via Generative Ai: Mediating Effects Of Knowledge Sharing And Supply Chain Learning,unknown
c113,Augmented Reality Training For Improved Learnability,../data/graph/case_study/raw_pdf_m/Augmented reality training for improved learnability.pdf
c114,The Impact Of Digital Technology Innovation Network Embedding On Firms’ Innovation Performance: The Role Of Knowledge Acquisition And Digital Transformation,../data/graph/case_study/raw_pdf_m/The Impact of Digital Technology Innovation Network Embedding on Firms’ Innovation Performance The Role of Knowledge Acquisition and Digital Transformation.pdf
c115,Harnessing Digital Transformation For Sustainable Performance: Exploring The Mediating Roles Of Green Knowledge Acquisition And Innovation Performance Under Digital Transformational Leadership,../data/graph/case_study/raw_pdf_m/Harnessing Digital Transformation For Sustainable Performance Exploring The Mediating Roles Of Green Knowledge Acquisition And Innovation Performance Under Digital Transformational Leadership.pdf
c116,"I4 Technology For Innovation, Knowledge Acquisition And Innovation Collaboration: Evidence From The Manufacturing Sectors","../data/graph/case_study/raw_pdf_m/I4 technology for innovation, knowledge acquisition and innovation collaboration evidence from the manufacturing sectors.pdf"
c117,The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry,../data/graph/case_study/raw_pdf_m/The role of internal and external social media in the idea generation phases of new product development evidence from the technology industry.pdf
c118,The Process Of Manufacturers′ Leapfrog Servitization Transformation Based On Digital Technology: A Case Study Of Noblelift,unknown
c119,A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities,../data/graph/case_study/raw_pdf_m/A combined approach for improving humanoid robots autonomous cognitive capabilities.pdf
c120,Dynamic Scheduling For Job Shop With Machine Failure Based On Data Mining Technologies,../data/graph/case_study/raw_pdf_m/Dynamic scheduling for job shop with machine failure based on data mining technologies.pdf
c121,How Can Generative Artificial Intelligence Empower Circular Supply Chain Practices? Evidence From Chinese Companies,../data/graph/case_study/raw_pdf_m/How can generative artificial intelligence empower circular supply chain practices Evidence from Chinese companies.pdf
