src_node_id,dst_node_id,relation_type,evidence_label,case_title
s001M02ED01,h001M02ED01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02ED02,h001M02ED02,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02ED03,h001M02ED03,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02ED04,h001M02ED04,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02EK01,h001M02EK01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02EK02,h001M02EK02,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02EK03,h001M02EK03,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02EK04,h001M02EK04,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02KH01,h001M02KH01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02KH02,h001M02KH02,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02KH03,h001M02KH03,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI01,h001M02LI01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI02,h001M02LI02,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI03,h001M02LI03,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI04,h001M02LI04,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI05,h001M02LI05,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI06,h001M02LI06,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI07,h001M02LI07,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI08,h001M02LI08,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI09,h001M02LI09,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI10,h001M02LI10,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI11,h001M02LI11,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI12,h001M02LI12,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02LI13,h001M02LI13,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02OD01,h001M02OD01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02OD05,h001M02OD05,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02OD06,h001M02OD06,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TE01,h001M02TE01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TE02,h001M02TE02,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TE03,h001M02TE03,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TE04,h001M02TE04,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TE05,h001M02TE05,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TE07,h001M02TE07,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02THR03,h001M02THR03,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02THR04,h001M02THR04,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02THR09,h001M02THR09,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TK01,h001M02TK01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TK02,h001M02TK02,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TK03,h001M02TK03,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TK04,h001M02TK04,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TK05,h001M02TK05,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TK06,h001M02TK06,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TK09,h001M02TK09,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TK10,h001M02TK10,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TP01,h001M02TP01,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TP02,h001M02TP02,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TP03,h001M02TP03,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TP04,h001M02TP04,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TP05,h001M02TP05,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TP06,h001M02TP06,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TP07,h001M02TP07,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TP08,h001M02TP08,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TP09,h001M02TP09,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TP10,h001M02TP10,is_an_instance_of,G,HOO1:Hard Aggregation
s001M02TP12,h001M02TP12,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02ED01,h001M02ED01,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02ED02,h001M02ED02,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02ED03,h001M02ED03,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02ED04,h001M02ED04,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02EK01,h001M02EK01,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02EK02,h001M02EK02,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02EK03,h001M02EK03,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02EK04,h001M02EK04,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02KH01,h001M02KH01,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02KH02,h001M02KH02,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02KH03,h001M02KH03,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI01,h001M02LI01,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI02,h001M02LI02,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI04,h001M02LI04,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI05,h001M02LI05,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI06,h001M02LI06,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI07,h001M02LI07,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI08,h001M02LI08,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI09,h001M02LI09,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI10,h001M02LI10,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI11,h001M02LI11,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI12,h001M02LI12,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02LI13,h001M02LI13,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02OD04,h001M02OD04,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02OD05,h001M02OD05,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02OD06,h001M02OD06,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02OD07,h001M02OD07,is_an_instance_of,G,HOO1:Hard Aggregation
s002M02TE01,h001M02TE01,is_an_instance_of,G,HOO1:Hard Aggregation
