PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37852174","Artificial intelligence education: An evidence-based medicine approach for consumers, translators, and developers","Ng FYC, Thirunavukarasu AJ, Cheng H, Tan TF, Gutierrez L, Lan Y, Ong JCL, Chong YS, Ngiam KY, Ho D, Wong TY, Kwek K, Doshi-Velez F, Lucey C, Coffman T, Ting DSW.","Cell Rep Med. 2023 Oct 17;4(10):101230. doi: 10.1016/j.xcrm.2023.101230.","Ng FYC","Cell Rep Med","2023","2023/10/18","PMC10591047","","10.1016/j.xcrm.2023.101230"
"40255837","Artificial Intelligence in Medical Education: Transforming Learning and Practice","Sriram A, Ramachandran K, Krishnamoorthy S.","Cureus. 2025 Mar 19;17(3):e80852. doi: 10.7759/cureus.80852. eCollection 2025 Mar.","Sriram A","Cureus","2025","2025/04/21","PMC12007958","","10.7759/cureus.80852"
"37578934","Assessing Health Students' Attitudes and Usage of ChatGPT in Jordan: Validation Study","Sallam M, Salim NA, Barakat M, Al-Mahzoum K, Al-Tammemi AB, Malaeb D, Hallit R, Hallit S.","JMIR Med Educ. 2023 Sep 5;9:e48254. doi: 10.2196/48254.","Sallam M","JMIR Med Educ","2023","2023/08/14","PMC10509747","","10.2196/48254"
"37051507","Comparing Knowledge Acquisition and Retention Between Mobile Learning and Traditional Learning in Teaching Respiratory Therapy Students: A Randomized Control Trial","Alhamad BR, Agha S.","Adv Med Educ Pract. 2023 Apr 6;14:333-342. doi: 10.2147/AMEP.S390794. eCollection 2023.","Alhamad BR","Adv Med Educ Pract","2023","2023/04/13","PMC10084877","","10.2147/AMEP.S390794"
"39730943","Chatbots for breast cancer education: a systematic review and meta-analysis","Lin SJ, Sun CY, Chen DN, Kang YN, Hoang KD, Chen KH, Chen C.","Support Care Cancer. 2024 Dec 27;33(1):55. doi: 10.1007/s00520-024-09096-9.","Lin SJ","Support Care Cancer","2024","2024/12/28","","","10.1007/s00520-024-09096-9"
"38174018","How people learn: insights for medical faculty","Cox T, Columbus C, Higginbotham J, Ahmed K.","Proc (Bayl Univ Med Cent). 2023 Dec 20;37(1):172-176. doi: 10.1080/08998280.2023.2278970. eCollection 2024.","Cox T","Proc (Bayl Univ Med Cent)","2023","2024/01/04","PMC10761177","","10.1080/08998280.2023.2278970"
"37256673","Skill Enactment and Knowledge Acquisition in Digital Cognitive Behavioral Therapy for Depression and Anxiety: Systematic Review of Randomized Controlled Trials","Jackson HM, Calear AL, Batterham PJ, Ohan JL, Farmer GM, Farrer LM.","J Med Internet Res. 2023 May 31;25:e44673. doi: 10.2196/44673.","Jackson HM","J Med Internet Res","2023","2023/05/31","PMC10267790","","10.2196/44673"
"37239192","Improved Spatial Knowledge Acquisition through Sensory Augmentation","Schmidt V, König SU, Dilawar R, Sánchez Pacheco T, König P.","Brain Sci. 2023 Apr 25;13(5):720. doi: 10.3390/brainsci13050720.","Schmidt V","Brain Sci","2023","2023/05/27","PMC10216147","","10.3390/brainsci13050720"
"40578029","AI-Powered Problem- and Case-based Learning in Medical and Dental Education: A Systematic Review and Meta-analysis","Wei H, Dai Y, Yuan K, Li KY, Hung KF, Hu EM, Lee AHC, Chang JWW, Zhang C, Li X.","Int Dent J. 2025 Aug;75(4):100858. doi: 10.1016/j.identj.2025.100858. Epub 2025 Jun 26.","Wei H","Int Dent J","2025","2025/06/27","PMC12268559","","10.1016/j.identj.2025.100858"
"39411110","Scoping Review: Innovations in Clinical Neurology Education","Zimmerman WD, Pergakis MB, Gorman EF, Motta M, Jin PH, Salas RME, Morris NA.","Neurol Educ. 2023 Feb 21;2(1):e200048. doi: 10.1212/NE9.0000000000200048. eCollection 2023 Mar.","Zimmerman WD","Neurol Educ","2023","2024/10/16","PMC11473089","","10.1212/NE9.0000000000200048"
"38017182","How is Big Data reshaping preclinical aging research?","Fernandez ME, Martinez-Romero J, Aon MA, Bernier M, Price NL, de Cabo R.","Lab Anim (NY). 2023 Dec;52(12):289-314. doi: 10.1038/s41684-023-01286-y. Epub 2023 Nov 28.","Fernandez ME","Lab Anim (NY)","2023","2023/11/28","","","10.1038/s41684-023-01286-y"
