"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Tradenames","Manufacturers","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Salvadorinho, J.; Ferreira, C.; Teixeira, L.","Salvadorinho, Juliana (57215431575); Ferreira, Carlos Manuel S. (58437598700); Teixeira, Leonor C. (22434117100)","57215431575; 58437598700; 22434117100","A technological leap in workplace engagement for industry 5.0: Introducing BoosToRaise","2026","Technology in Society","86","","103276","","","0","10.1016/j.techsoc.2026.103276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031160806&doi=10.1016%2Fj.techsoc.2026.103276&partnerID=40&md5=d7f6d1e3df50e0aec61fae2dfeac87aa","Industry 5.0 (I5.0) shifts focus from technological dominance to the human element, addressing the evolving needs of younger generations such as Y and Z, who seek meaningful work, autonomy, and social responsibility. This study develops a novel engagement framework aligned with I5.0 principles and operationalized through the BoosToRaise platform, integrating Protean Career Attitude (PCA), Participatory Design (PD), and Learning Organization (LO) to enhance workforce engagement and organizational resilience. Using an abductive research approach, the platform was developed and iteratively refined through Design Thinking, Co-Creation, and Agile methodologies across three multinational organizations from diverse industries. The research highlights a critical gap in existing digital tools—like IBM Kenexa, BetterUp, Microsoft Viva, and Leapsome—that, despite offering performance management and training, largely operate in top-down models prioritizing monitoring over empowerment. These platforms fall short in enabling self-directed career planning, genuine co-design, and dynamic peer learning, limiting their ability to meet generational expectations. This study reframes technology as an empowerment agent, advocating its redesign grounded in I5.0's human-centric values. Also, it expands I5.0's sustainability focus by emphasizing social sustainability—the strategic retention and growth of human capital—as vital for organizational competitiveness amid high turnover and knowledge loss. This framework challenges organizations to rethink employee-technology relationships, promoting digital engagement as a driver of inclusion, empowerment, and continuous development, offering practical insights to build workplaces that thrive in a human-centered future. © 2026 The Authors.","Employee engagement; Generation Z; Industry 5.0; Learning organization; Participatory design; Protean career attitude","Employment; Empowerment of personnel; Engineering education; Industry 4.0; Knowledge management; Personnel; Personnel training; Social aspects; Sustainable development; Employee engagement; Generation Z; Industry 5.0; Learning organizations; Meaningful works; Organisational; Participatory design; Protean career attitude; Social responsibilities; Younger generations; Digital devices","","","Elsevier Ltd","","","","","","English","Article","Final","","Scopus","2-s2.0-105031160806"
"Li, J.; Zhao, H.","Li, Jing (60284211700); Zhao, Haiyan (60284662000)","60284211700; 60284662000","Workflow-embedded AI as a cognitive scaffold: A randomized trial on knowledge retention and diagnostic competency in undergraduate radiology education","2026","European Journal of Radiology Open","16","","100724","","","0","10.1016/j.ejro.2026.100724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026717076&doi=10.1016%2Fj.ejro.2026.100724&partnerID=40&md5=a4bb2ba3bb1e3947391d32a79618360e","Background: Traditional didactic methods in medical imaging education, predominantly reliant on static images (non-augmented, traditional PACS workflow that requires manual, unguided search and interpretation), consistently fail to bridge the theory-practice divide, contributing to high diagnostic error rates. While the integration of artificial intelligence (AI) with Picture Archiving and Communication Systems (PACS+AI) offers transformative potential, robust evidence quantifying its impact on longitudinal competency development remains scarce. Objective: This study aims to quantitatively evaluate the efficacy of a cognitively optimized PACS+AI framework versus conventional PACS in enhancing radiology education across four critical domains: theoretical knowledge, clinical decision-making competencies, AI acceptance, and knowledge retention. Methods: In a prospective single-blind randomized controlled trial (RCT), 110 medical imaging undergraduates were randomized to PACS+AI (n = 55) or standard PACS (n = 55) groups. Theoretical knowledge was assessed using validated item-bank assessments; clinical decision-making competencies were evaluated through lesion detection, anatomical localization, diagnostic accuracy, and report completeness; AI acceptance was measured using the Technology Acceptance Model (TAM); and knowledge retention was tracked through immediate, 1-month, and 3-month follow-up assessments. The PACS+AI framework provided three core cognitive support functions: automated lesion annotation, structured diagnostic prompting, and workflow-contextualized feedback. Results: The PACS+AI group demonstrated significantly superior outcomes across all domains: theoretical knowledge retention was substantially higher (79.3 % vs. 19.7 % at 3 months, P < 0.001, d=1.95); clinical decision-making competencies showed progressive improvement with large effect sizes (Δ=12.4–18.1, all P < 0.001, d=1.88–2.48); AI acceptance scores were significantly elevated across all TAM constructs (all P < 0.001, d>1.9); and knowledge retention was maintained longitudinally with amplified effects over time. Conclusion: The PACS+AI framework significantly enhances radiology education by optimizing cognitive load distribution, resulting in sustained knowledge retention, superior clinical decision-making competencies, and heightened AI acceptance. This integrated teaching model effectively bridges the gap between theory and practice, cultivates professionals adaptable to the artificial intelligence environment, and aligns with the core needs of the new generation of medical education. © 2026","AI acceptance; Clinical competency; Cognitive load theory; Medical imaging education; Workflow-embedded learning","7 item technology acceptance model scale; adult; Article; artificial intelligence; assessment of humans; clinical decision making; cognition; cognitive load; computer assisted tomography; controlled study; deep learning; diagnostic accuracy; diagnostic imaging; female; human; human experiment; knowledge; male; medical education; normal human; nuclear magnetic resonance imaging; randomized controlled trial; single blind procedure; ultrasound; undergraduate radiology education; workflow; X ray; young adult","Centricity v5.0, GE Healthcare; R v4.3.1","GE Healthcare","Elsevier Ltd","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105026717076"
"Han, N.; Liu, D.; Norton, T.","Han, Nana (59949872400); Liu, Dong (57189588678); Norton, Tomas (35273348100)","59949872400; 57189588678; 35273348100","Towards an AI-based knowledge assistant for goat farmers based on retrieval-augmented generation","2026","Computers and Electronics in Agriculture","245","","111542","","","0","10.1016/j.compag.2026.111542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029852476&doi=10.1016%2Fj.compag.2026.111542&partnerID=40&md5=f261f3eeeae53b2e9dd4a48f596b556f","To address the challenges of limited expertise and complex data in goat farming, this study creates a “Domain-First” Retrieval-Augmented Generation (RAG) assistant framework. It uses table textualization and decision-tree textualization technologies to merge essential knowledge for goat husbandry. The system has a specialized knowledge base covering five key areas, including Disease Prevention and treatment, Nutrition Management, Rearing Management, Goat Milk Management, and Basic Farming Knowledge. It also includes an online retrieval module for acquiring real-time information. Experimental results show that this knowledge fusion strategy performs well, with average accuracies of 87.90% on the validation set and 84.22% on the test set. In Q&A tasks using text, tables, and decision trees, accuracy exceeds 85%, confirming the effectiveness of the modular design for structured knowledge. This study enhances the model's logical reasoning and long-tail knowledge capture capabilities through heterogeneous knowledge synergy. However, analysis reveals that “Omission” is the main cause of performance loss. Additionally, the initial professional corpus limits retrieval coverage and online filtering. Future work will aim to expand the knowledge base through active learning and improve retrieval strategies. © 2026 Elsevier B.V.","Decision-tree textualization; Goat farming; Heterogeneous knowledge synergy; Retrieval-augmented generation; Table textualization","Dairy products; Forestry; Information retrieval; Knowledge based systems; Knowledge management; Complex data; Decision-tree textualization; Disease prevention; Disease treatment; Goat farming; Heterogeneous Knowledge; Heterogeneous knowledge synergy; Retrieval-augmented generation; Specialized knowledge; Table textualization; Decision trees; accuracy assessment; artificial intelligence; decision analysis; goat; knowledge; machine learning; milk production","","","Elsevier B.V.","","","","","","English","Article","Final","","Scopus","2-s2.0-105029852476"
"Sidhimantra, G.A.S.; Suprapto, N.; Dermawan, D.A.; Syahputra, D.N.A.; Nudin, S.R.; Hakim, S.R.","Sidhimantra, I. Gde Agung Sri (59150682800); Suprapto, Nadi (57163917500); Dermawan, Dodik Arwin (57204489182); Syahputra, Dimas Novian Aditia (59150191200); Nudin, Salamun Rohman (56766087800); Hakim, Septian Rahman (57214705909)","59150682800; 57163917500; 57204489182; 59150191200; 56766087800; 57214705909","Exploring the Impact of Virtual Reality on Gen Z Students in Preserving the Cultural Heritage of Karapan Sapi","2026","Multidisciplinary Science Journal","8","4","e2026260","","","0","10.31893/multiscience.2026260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018506250&doi=10.31893%2Fmultiscience.2026260&partnerID=40&md5=6468ea2b8ba9620a701e89610e1596be","This study explores the use of virtual reality (VR) technology to maintain and revitalize the traditional cultural practice of Karapan Sapi, the bull racing tradition of Madura, Indonesia. Innovative strategies are needed to engage younger generations in cultural heritage, as globalization and technological progress increasingly distance them from their cultural roots. While VR has been applied in education and tourism, its role in preserving ethnosport traditions like Karapan Sapi remains underexplored. VR has distinctive prospects for crafting immersive and interactive experiences that augment user engagement and bolster cultural conservation. Eighty-five Gen Z participants (aged 20-24) were recruited, with exclusions applied for individuals familiar with the tradition and those with vertigo or migraines. Data were collected through pre- and postexperience knowledge tests, an unannounced two-week follow-up test, and 20 question surveys that covers engagement, immersion, learning interest, cultural preservation, and technology’s role. Structural Equation Modeling (SEM-PLS) was employed to validate the relationships among constructs. The results revealed substantial knowledge gains, with average scores rising from 20.35% (pre-test) to 78.70% (post-test) and stabilizing at 69% in follow-up, demonstrating effective knowledge retention. Survey responses showed high internal consistency (e.g., Engagement α = 0.923; Cultural Preservation α = 0.920), confirming reliability. The SEM-PLS analysis indicated strong path coefficients, particularly between immersion and learning interest (β = 0.742) and engagement and cultural preservation (β = 0.969), highlighting VR’s ability to stimulate curiosity and foster heritage appreciation. This study highlights the potential of virtual reality (VR) as a useful instrument for preserving cultural heritage. It also provides a fresh way to interact with the digital generation and encourage the continued applicability of ancient traditions in the contemporary environment. © (c) 2026 The Authors. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.","cultural preservation; education; virtual reality","","","","Malque Publishing","","","","","","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018506250"
"Tseng, H.-T.; Hsu, M.-H.; Tsai, C.-Y.; Lo, C.-L.","Tseng, Hsiaoting (56998153300); Hsu, Menghua (57220127653); Tsai, Chihyun (60335442000); Lo, Chialun (54893930700)","56998153300; 57220127653; 60335442000; 54893930700","ELDER-MATCH: A Personality-Aware Expert System for Elderly Social Connection Through AI-Powered Social Robots","2026","Expert Systems","43","3","e70206","","","0","10.1111/exsy.70206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027627194&doi=10.1111%2Fexsy.70206&partnerID=40&md5=6a100f01098a778eb4ab0ffee6c80b3f","Global population aging has created unprecedented social isolation challenges among elderly populations, with significant negative health consequences. To address this, we propose ELDER-MATCH, a personality-aware expert system that moves beyond conventional interest- or need-based matchmaking. By leveraging AI-powered social robots as an interactive interface, our system helps elderly individuals form not just connections, but suitable and sustainable social relationships based on a deeper understanding of their personality and compatibility. We adopted a two-stage framework: (1) a BERT-based natural language processing stage deriving knowledge from conversational analysis to infer Big Five personality traits, and (2) a K-means clustering stage employing a hybrid knowledge representation to identify compatible social connections based on weighted combinations of personality vectors, interests, and geographical constraints. The social robot provides an intuitive, accessible interface for knowledge acquisition and recommendation delivery, tailored specifically to elderly users with varying technological familiarity. The system was evaluated with 83 older adults across multiple community-based settings. In Stage 2, our unsupervised learning approach identified seven distinct social compatibility clusters, each with specific reasoning rules guiding the recommendation engine. The expert system effectively facilitated meaningful social connections, with 76% of accepted recommendations resulting in ongoing relationships at the three-month follow-up. Beyond interests and needs, personality-aware introductions reduce first-meeting friction and improve trust calibration for older adults. We position ELDER-MATCH as a mediator of human–human ties, and we articulate a “sunset-by-design” principle whereby the system fades as relationships stabilise. Longitudinal assessments revealed significant reductions in loneliness, expansion of participants' social networks, and notable improvements in psychological well-being. These findings demonstrate that a two-stage, personality-aware expert system, coupled with a user-centric interface, successfully bridges technological capabilities and social needs, advancing elderly social wellbeing through responsible AI application within the AI-for-Social-Good paradigm. In practice, personality-aware introductions reduce first-meeting friction and calibrate trust for older adults—benefits that interest-only systems rarely deliver in sustained relationships. © 2026 John Wiley & Sons Ltd.","AI-for-social-good; elderly care; expert systems; knowledge representation; personality analysis; recommendation systems; social connection","Friction; K-means clustering; Knowledge acquisition; Knowledge management; Knowledge transfer; Recommender systems; Social aspects; Social robots; User interfaces; AI-for-social-good; Elderly care; Global population; Knowledge-representation; Older adults; Personality analyze; Population aging; Social connection; Social isolation; Expert systems; Knowledge representation","","","John Wiley and Sons Inc","","","","","","English","Article","Final","","Scopus","2-s2.0-105027627194"
"Ji, Z.; Tang, Y.; Hu, C.; Wang, Y.; Guo, M.; Luo, Z.; Zhou, C.; Pons, D.; Chen, Y.; Yang, S.","Ji, Zuzhen (57210812131); Tang, Yawen (60247091400); Hu, Chaojie (60169534000); Wang, Yuchen (60391296400); Guo, Mingbo (60247584700); Luo, Zhanni (57211003762); Zhou, Chenchen (57222376924); Pons, Dirk John (36135961900); Chen, Yong (55938849400); Yang, S. H. (35726316400)","57210812131; 60247091400; 60169534000; 60391296400; 60247584700; 57211003762; 57222376924; 36135961900; 55938849400; 35726316400","Revolutionizing safety training: enhancing safety knowledge acquisition, retention, and user experience with adaptive VR-LLM integration","2026","Virtual Reality","30","1","9","","","0","10.1007/s10055-025-01261-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025214858&doi=10.1007%2Fs10055-025-01261-7&partnerID=40&md5=7b6495ff26025a959f05aaa43ad368f3","Safety training is essential for preventing industrial accidents. The integration of Virtual Reality (VR) and Large Language Models (LLMs) holds transformative potential for safety training, as each technology has critical limitations when used alone. While VR provides realistic, risk-free simulations, it lacks adaptability to individual learning needs. Conversely, LLMs offer personalized feedback but lack contextual immersion. Guided by adaptive learning theory, this study proposes a framework which integrating VR and LLMs for safety training, namely AIVR. AIVR consists three core components: an AI tutoring system, that leveraging LLMs for personalized content generation; an adaptive learning system that continuously assesses learner performance and adjusts training content to address individual knowledge gaps; a VR system that contributes adaptive navigation support by visually emphasizing weak points, highlighting relevant areas in the immersive environment, and restructuring interaction paths in response to learner progress.This study then compared AIVR with traditional VR and slide-based instruction in an experiment assessing knowledge acquisition, retention, and user experience. Results demonstrated that AIVR significantly improved knowledge acquisition and retention, and outperformed the other methods in self-efficacy and technology acceptance. The findings also indicated that AIVR's personalization enhanced engagement and reduced anxiety. These results highlight the effectiveness of applying adaptive learning theory to combine immersive and intelligent technologies for enhancing safety training. © The Author(s) 2025.","Adaptive learning; Large language models; Safety training; Virtual reality","Accident prevention; Accidents; Computer aided instruction; E-learning; Engineering education; Integration; Knowledge acquisition; Knowledge management; Knowledge transfer; Learning systems; Mergers and acquisitions; Adaptive learning; Industrial accident; Language model; Large language model; Learning Theory; Models integration; Risk free; Safety knowledge; Safety training; Users' experiences; Virtual reality","","","Springer Science and Business Media Deutschland GmbH","","","","","","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025214858"
"Böhm, K.; Durst, S.","Böhm, Karsten (8690366600); Durst, Susanne (24733917600)","8690366600; 24733917600","Knowledge management in the age of generative artificial intelligence – from SECI to GRAI","2026","VINE Journal of Information and Knowledge Management Systems","56","1","","106","121","9","10.1108/VJIKMS-10-2024-0357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004291415&doi=10.1108%2FVJIKMS-10-2024-0357&partnerID=40&md5=09fb63543d2c6049238ed86966e0fb31","Purpose – Generative Artificial Intelligence (GenAI) models are now able not only to recognize complex patterns from large amounts of input data but also to display them in context. This fact invites a critical analysis of the SECI model and its further applicability as an analytical framework for knowledge generation and transfer in organizations. This conceptual paper aims to take the SECI model with the individual SECI phases and analyze how GenAI changes the assumptions and descriptions of the original SECI framework. More specifically, the aim is to propose a revised SECI framework. Design/methodology/approach – This paper aims to contribute to theory development of theories present in the literature. More specifically, it seeks to make a conceptual contribution that draws on one of the four types of conceptual contributions proposed by Deborah J. MacInnis, namely, envisioning, and is based on previous literature and the authors’ thoughts and experiences to propose a revised SECI framework called GRAI, which stands for Generative Receptive Artificial Intelligence. Findings – A better understanding of the further applicability of the SECI framework that arises with the introduction and application of GenAI models is not only relevant to the existing knowledge management (KM) theory but also to organizations. The proposed revised perspective of the SECI model, summarized in the GRAI framework, reflects the use of GenAI technologies in the corporate environment and thus allows the necessary stimulation of a discussion on how KM in general, and knowledge generation, in particular, will be affected and augmented by AI. Originality/value – To the authors’ knowledge, this paper is the first to systematically and comprehensively examine the established SECI framework and its wider applicability in terms of the potential impact of GenAI models on KM practices in organizations. The proposed GRAI framework is seen as a relevant contribution to the further development of KM theory. © 2025 Karsten Böhm and Susanne Durst","AI; Generative artificial intelligence; GRAI; Knowledge creation; Knowledge generation; Knowledge management; Knowledge transfer; SECI","Knowledge acquisition; Knowledge organization; Complex pattern; Generative artificial intelligence; GRAI; Intelligence models; Knowledge creations; Knowledge generations; Knowledge management theories; Knowledge transfer; SECI; SECI model","","","Emerald Publishing","","","","","","English","Article","Final","","Scopus","2-s2.0-105004291415"
"van Leersum, C.M.","van Leersum, Catharina Margaretha (57209235203)","57209235203","What should AI explain to you? Visions of older adults regarding explainable AI","2026","Gerontologist","66","2","gnaf308","","","0","10.1093/geront/gnaf308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029495109&doi=10.1093%2Fgeront%2Fgnaf308&partnerID=40&md5=e53f2a499598dcc984791c3a087996a9","Background and objectives: Artificial intelligence (AI) combined with smart sensors or conversational agents are becoming part of our lives, and have the potential to improve aging in place by supporting independent living. Trust and willingness to use AI seem essential for actual embedding. Explainable AI (XAI), originating from the recognition that AI infrastructures often operate in an opaque, “black boxed” way, might assist in understanding the underlying logic of AI-made decisions. However, it is unknown what older adults think about XAI and what they consider as needed explainability. Research design and methods: I conducted 28 semi-structured interviews to explore XAI in the worlds of older adults. Inductive analysis was applied to analyze what do older adults know about AI and how do they imagine our society with AI? What is XAI to them and how do they value explainability? Findings: The analysis resulted in nine themes: four regarding the knowledge on AI of older adults, including definitions, knowledge acquisition, attitudes, and expectations, and five themes were leading for the views on XAI in which XAI is not desirable, XAI is necessary, or collaboration is preferred. Discussion and implications: The visions of XAI are different from current technological discourses. For older adults, XAI is not only technological, but a constellation between humans and machines. Most argue that a form of joint decision-making is important. As a follow-up, it seems recommended to explore the enactment of XAI in real life, and investigate the form or degree of XAI needed and for whom. © 2026 © The Author(s) 2025. Published by Oxford University Press on behalf of the Gerontological Society of America. All rights reserved.","Age in place; Black box; Decision-making; Gerontechnology","aged; artificial intelligence; decision making; female; human; independent living; interview; male; middle aged; qualitative research; very elderly; Aged; Aged, 80 and over; Artificial Intelligence; Decision Making; Female; Humans; Independent Living; Interviews as Topic; Male; Middle Aged; Qualitative Research","","","Gerontological Society of America","","","","","","English","Article","Final","","Scopus","2-s2.0-105029495109"
"H.","","60413073000","Design and Application of an AIGC Music Generation Framework: Aligning Technical Innovation With Organizational Knowledge Management Needs","2026","International Journal of Knowledge Management","22","1","","","","0","10.4018/IJKM.402193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030926027&doi=10.4018%2FIJKM.402193&partnerID=40&md5=a8a1799453d9923916a62f3915c0a05c","In creative industries, AIGC music technologies hold promise for advancing organizational knowledge creation and reuse, but face barriers in resource efficiency, collaborative controllability, and alignment with knowledge management goals. This study develops a hybrid Transformer-GNN framework with a dual-loop control mechanism, tailored to support KM processes: knowledge capture, transfer, and reuse. Evaluations on MAESTRO-v3, Lakh-Clean, and a custom dataset show the framework outperforms mainstream models in Pitch Accuracy (85.3%), Harmonic Coherence (0.78), and Structure Completeness (0.73), with optimized resource use (36-hour training, 18.8 GB peak GPU memory). User studies confirm a 26% reduction in manual revisions, enhancing knowledge transfer between AI and human teams. This work provides a deployable AIGC solution bridging technical innovation and organizational KM needs in creative contexts. © 2026 IGI Global. All rights reserved.","Computational Efficiency; Generation Framework; Graph Neural Network; Human Collaboration; Music Generation; Music Generation Quality","Computer music; Knowledge acquisition; Knowledge management; Knowledge transfer; Design and application; Generation framework; Graph neural networks; Human collaboration; Knowledge reuse; Music generation; Music generation quality; Organizational knowledge management; Technical innovation; Computational efficiency","","","IGI Global","","","","","","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105030926027"
"Fong, P.S.W.","Fong, Patrick S.W. (58713635000)","58713635000","Leveraging storytelling for effective tacit knowledge capture and management in the construction industry: framework development and empirical validation","2026","International Journal of Construction Management","","","","","","0","10.1080/15623599.2026.2630239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030693583&doi=10.1080%2F15623599.2026.2630239&partnerID=40&md5=5a4bda66deb69373a8e59045e04ef424","Tacit knowledge—rooted in individual experience, intuition, and skills—is vital to construction project success but remains difficult to capture and transfer. Traditional methods like interviews, documentation, and video recordings often fall short due to cultural barriers, technological limitations, and reluctance to share expertise. This study explores storytelling as an innovative, engaging method to capture tacit knowledge effectively. Here, ‘storytelling’ denotes construction practitioners’ situated narratives that recount context, cues, decisions, and consequences from real project episodes; these narratives are captured, structured, metadata-tagged, and integrated into the Knowledge Management Systems (KMS) for retrieval and reuse. It proposes and validates a storytelling-based framework integrated into KMS specifically for the construction industry. Drawing on qualitative case studies from a major bridge project and an engineering consultancy facing mass retirements, the research illustrates how storytelling enables the elicitation, capture, and dissemination of critical knowledge. Findings show that storytelling creates a relatable and emotionally engaging environment, encouraging practitioners to share rich, context-specific narratives that traditional approaches miss. The validated framework offers practical guidance for construction firms seeking to retain expertise, improve cross-project knowledge transfer, and cultivate a learning culture. Ultimately, the storytelling approach supports better project outcomes, reduces rework, and helps safeguard the construction sector’s experiential knowledge base. © 2026 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","construction industry; knowledge capture and transfer; knowledge management systems (KMS); organizational learning; situated narratives; storytelling; Tacit knowledge","","","","Taylor and Francis Ltd.","","","","","","English","Article","aip","","Scopus","2-s2.0-105030693583"
