dt_type,count
"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",1
"Manufacturing, Fabrication, and Robotics",1
Industrial And Commercial Machinery And Computer Equipment,2
Others ,3
"Distributed, Secure, and Trust Technologies",18
"Cyber-Physical Systems, IoT, and Smart Environments",29
"Rule-Based, Decision, and Expert Systems",36
"Imaging, Sensing, and Perception Technologies",42
"Mobile, Social, and Communication Technologies",58
Others,58
Artificial Intelligence and Intelligent Computation,120
"Data, Information, and Knowledge Systems",122
Human–Computer Interaction and Immersive Technologies,162
